Country Name,Health,total
Afghanistan,13,62
Angola,2,61
Andorra,6,83
United Arab Emirates,4,79
Argentina,9,76
Armenia,11,73
Antigua and Barbuda,4,79
Australia,9,83
Austria,10,82
Azerbaijan,4,73
Burundi,7,61
Belgium,10,82
Benin,2,59
Burkina Faso,5,59
Bangladesh,2,73
Bulgaria,7,71
Bahrain,4,79
Bosnia and Herzegovina,9,75
Belarus,5,73
Belize,5,70
Bolivia,6,64
Brazil,9,73
Barbados,6,77
Bhutan,3,72
Botswana,6,65
Canada,10,82
Switzerland,11,84
Chile,9,79
China,5,78
Cameroon,3,60
Colombia,7,73
Comoros,5,63
Costa Rica,7,77
Cuba,11,78
Cyprus,7,81
Germany,11,80
Djibouti,1,62
Dominica,5,72
Denmark,9,81
Dominican Republic,5,74
Algeria,6,77
Ecuador,7,77
Egypt,4,70
Eritrea,4,66
Spain,9,83
Estonia,6,79
Ethiopia,3,65
Finland,9,82
Fiji,3,68
France,11,83
Gabon,2,65
United Kingdom,10,82
Georgia,6,71
Ghana,3,63
Guinea,3,58
Guinea-Bissau,8,59
Equatorial Guinea,3,61
Greece,7,80
Grenada,4,75
Guatemala,6,68
Guyana,4,65
Honduras,7,70
Croatia,6,79
Haiti,4,63
Hungary,6,74
Indonesia,2,68
India,3,67
Ireland,6,82
Iran,6,74
Iraq,4,71
Iceland,8,82
Israel,7,82
Italy,8,84
Jamaica,6,70
Jordan,7,74
Japan,10,84
Kazakhstan,2,69
Kenya,4,62
Cambodia,6,69
Kiribati,10,67
Kuwait,5,80
Lebanon,8,74
Liberia,8,61
Sri Lanka,4,76
Lesotho,11,53
Lithuania,7,74
Luxembourg,5,82
Latvia,6,75
Morocco,5,74
Monaco,1,86
Moldova,6,68
Madagascar,3,65
Maldives,8,80
Mexico,5,74
Marshall Islands,16,65
North Macedonia,7,73
Mali,3,59
Malta,8,83
Myanmar,4,67
Montenegro,8,76
Mongolia,3,72
Mozambique,7,59
Mauritania,3,64
Mauritius,6,73
Malawi,7,62
Malaysia,3,76
Namibia,8,58
Niger,5,62
Nigeria,3,53
Nicaragua,8,74
Netherlands,10,82
Norway,10,83
Nepal,4,70
Nauru,9,64
New Zealand,9,83
Oman,4,73
Pakistan,3,66
Panama,7,76
Peru,5,73
Philippines,4,72
Palau,15,65
Papua New Guinea,2,65
Poland,6,76
Portugal,9,82
Paraguay,7,70
Qatar,2,81
Romania,5,74
Russia,5,70
Rwanda,6,67
Saudi Arabia,5,77
Sudan,4,65
Senegal,4,67
Singapore,4,84
Solomon Islands,4,70
Sierra Leone,8,60
El Salvador,7,71
San Marino,6,83
Serbia,8,74
Sao Tome and Principe,5,68
Slovenia,8,82
Sweden,10,83
Eswatini,6,56
Seychelles,5,71
Chad,4,52
Togo,5,61
Thailand,3,79
Tajikistan,7,71
Turkmenistan,6,69
Timor-Leste,7,69
Tonga,4,71
Trinidad and Tobago,7,74
Tunisia,6,74
Turkey,4,78
Tanzania,3,66
Uganda,3,63
Ukraine,7,68
Uruguay,9,78
United States of America,16,78
Uzbekistan,5,71
Vietnam,5,74
Vanuatu,3,70
Samoa,6,72
South Africa,9,61
Zambia,5,61
Zimbabwe,7,59