Year,area,journeys
1982,Metropolitan,3.022
1982,Non-Metropolitan,1.615
1983,Metropolitan,3.098
1983,Non-Metropolitan,1.623
1984,Metropolitan,3.209
1984,Non-Metropolitan,1.598
1985/86,Metropolitan,3.22
1985/86,Non-Metropolitan,1.582
1986/87,Metropolitan,2.974
1986/87,Non-Metropolitan,1.565
1987/88,Metropolitan,2.939
1987/88,Non-Metropolitan,1.545
1988/89,Metropolitan,2.906
1988/89,Non-Metropolitan,1.496
1989/90,Metropolitan,2.836
1989/90,Non-Metropolitan,1.468
1990/91,Metropolitan,2.725
1990/91,Non-Metropolitan,1.39
1991/92,Metropolitan,2.627
1991/92,Non-Metropolitan,1.328
1992/93,Metropolitan,2.512
1992/93,Non-Metropolitan,1.302
1993/94,Metropolitan,2.454
1993/94,Non-Metropolitan,1.268
1994/95,Metropolitan,2.485
1994/95,Non-Metropolitan,1.273
1995/96,Metropolitan,2.551
1995/96,Non-Metropolitan,1.303
1996/97,Metropolitan,2.54
1996/97,Non-Metropolitan,1.304
1997/98,Metropolitan,2.573
1997/98,Non-Metropolitan,1.286
1998/99,Metropolitan,2.522
1998/99,Non-Metropolitan,1.286
1999/00,Metropolitan,2.507
1999/00,Non-Metropolitan,1.297
2000/01,Metropolitan,2.55
2000/01,Non-Metropolitan,1.292
2001/02,Metropolitan,2.618
2001/02,Non-Metropolitan,1.263
2002/03,Metropolitan,2.709
2002/03,Non-Metropolitan,1.255
2003/04,Metropolitan,2.854
2003/04,Non-Metropolitan,1.233
2004/05,Metropolitan,2.849
2004/05,Non-Metropolitan,1.177
2005/06,Metropolitan,2.93
2005/06,Non-Metropolitan,1.184
2006/07,Metropolitan,3.045
2006/07,Non-Metropolitan,1.253
2007/08,Metropolitan,3.227
2007/08,Non-Metropolitan,1.303
2008/09,Metropolitan,3.302
2008/09,Non-Metropolitan,1.334
2009/10,Metropolitan,3.3
2009/10,Non-Metropolitan,1.313
2010/11,Metropolitan,3.301
2010/11,Non-Metropolitan,1.317
2011/12,Metropolitan,3.328
2011/12,Non-Metropolitan,1.312
2012/13,Metropolitan,3.292
2012/13,Non-Metropolitan,1.279
2013/14,Metropolitan,3.374
2013/14,Non-Metropolitan,1.298
2014/15,Metropolitan,3.339
2014/15,Non-Metropolitan,1.288
2015/16,Metropolitan,3.241
2015/16,Non-Metropolitan,1.27
2016/17,Metropolitan,3.176
2016/17,Non-Metropolitan,1.262
2017/18,Metropolitan,3.133
2017/18,Non-Metropolitan,1.215
2018/19,Metropolitan,3.099
2018/19,Non-Metropolitan,1.208
2019/20,Metropolitan,2.937
2019/20,Non-Metropolitan,1.136
2020/21,Metropolitan,1.179
2020/21,Non-Metropolitan,0.395